,T,E,Trade_random,Trade_search,Trade_market
33,161.0,1.0,1,0,0
34,176.0,1.0,1,0,0
35,175.0,1.0,1,0,0
36,168.0,1.0,1,0,0
37,256.0,1.0,1,0,0
38,141.0,1.0,1,0,0
39,141.0,1.0,1,0,0
40,211.0,1.0,1,0,0
41,191.0,1.0,1,0,0
42,179.0,1.0,1,0,0
43,168.0,1.0,1,0,0
44,125.0,1.0,1,0,0
45,219.0,1.0,1,0,0
46,144.0,1.0,1,0,0
47,140.0,1.0,1,0,0
48,179.0,1.0,1,0,0
49,210.0,1.0,1,0,0
0,192.0,1.0,1,0,0
1,170.0,1.0,1,0,0
2,199.0,1.0,1,0,0
3,163.0,1.0,1,0,0
4,115.0,1.0,1,0,0
5,170.0,1.0,1,0,0
6,186.0,1.0,1,0,0
7,194.0,1.0,1,0,0
8,175.0,1.0,1,0,0
9,216.0,1.0,1,0,0
10,130.0,1.0,1,0,0
11,162.0,1.0,1,0,0
12,123.0,1.0,1,0,0
13,199.0,1.0,1,0,0
14,134.0,1.0,1,0,0
15,185.0,1.0,1,0,0
16,223.0,1.0,1,0,0
17,200.0,1.0,1,0,0
18,187.0,1.0,1,0,0
19,143.0,1.0,1,0,0
20,116.0,1.0,1,0,0
21,169.0,1.0,1,0,0
22,220.0,1.0,1,0,0
23,185.0,1.0,1,0,0
24,158.0,1.0,1,0,0
25,184.0,1.0,1,0,0
26,216.0,1.0,1,0,0
27,185.0,1.0,1,0,0
28,146.0,1.0,1,0,0
29,205.0,1.0,1,0,0
30,163.0,1.0,1,0,0
31,210.0,1.0,1,0,0
32,192.0,1.0,1,0,0
33,196.0,1.0,1,0,0
34,356.0,1.0,1,0,0
35,206.0,1.0,1,0,0
36,138.0,1.0,1,0,0
37,197.0,1.0,1,0,0
38,219.0,1.0,1,0,0
39,212.0,1.0,1,0,0
40,131.0,1.0,1,0,0
41,162.0,1.0,1,0,0
42,203.0,1.0,1,0,0
43,215.0,1.0,1,0,0
44,172.0,1.0,1,0,0
45,171.0,1.0,1,0,0
46,131.0,1.0,1,0,0
47,204.0,1.0,1,0,0
48,356.0,1.0,1,0,0
49,179.0,1.0,1,0,0
0,156.0,1.0,1,0,0
1,138.0,1.0,1,0,0
2,176.0,1.0,1,0,0
3,146.0,1.0,1,0,0
4,170.0,1.0,1,0,0
5,173.0,1.0,1,0,0
6,220.0,1.0,1,0,0
7,195.0,1.0,1,0,0
8,224.0,1.0,1,0,0
9,202.0,1.0,1,0,0
10,132.0,1.0,1,0,0
11,168.0,1.0,1,0,0
12,170.0,1.0,1,0,0
13,178.0,1.0,1,0,0
14,170.0,1.0,1,0,0
15,189.0,1.0,1,0,0
16,224.0,1.0,1,0,0
17,173.0,1.0,1,0,0
18,210.0,1.0,1,0,0
19,142.0,1.0,1,0,0
20,160.0,1.0,1,0,0
21,192.0,1.0,1,0,0
22,145.0,1.0,1,0,0
23,162.0,1.0,1,0,0
24,148.0,1.0,1,0,0
25,153.0,1.0,1,0,0
26,186.0,1.0,1,0,0
27,218.0,1.0,1,0,0
28,157.0,1.0,1,0,0
29,131.0,1.0,1,0,0
30,189.0,1.0,1,0,0
31,175.0,1.0,1,0,0
32,138.0,1.0,1,0,0
33,214.0,1.0,1,0,0
34,157.0,1.0,1,0,0
35,135.0,1.0,1,0,0
36,206.0,1.0,1,0,0
37,116.0,1.0,1,0,0
38,162.0,1.0,1,0,0
39,157.0,1.0,1,0,0
40,151.0,1.0,1,0,0
41,222.0,1.0,1,0,0
42,149.0,1.0,1,0,0
43,227.0,1.0,1,0,0
44,153.0,1.0,1,0,0
45,161.0,1.0,1,0,0
46,130.0,1.0,1,0,0
47,130.0,1.0,1,0,0
48,122.0,1.0,1,0,0
49,169.0,1.0,1,0,0
0,169.0,1.0,1,0,0
1,260.0,1.0,1,0,0
2,200.0,1.0,1,0,0
3,151.0,1.0,1,0,0
4,129.0,1.0,1,0,0
5,143.0,1.0,1,0,0
6,142.0,1.0,1,0,0
7,163.0,1.0,1,0,0
8,132.0,1.0,1,0,0
9,216.0,1.0,1,0,0
10,197.0,1.0,1,0,0
11,153.0,1.0,1,0,0
12,156.0,1.0,1,0,0
13,227.0,1.0,1,0,0
14,165.0,1.0,1,0,0
15,179.0,1.0,1,0,0
16,124.0,1.0,1,0,0
17,190.0,1.0,1,0,0
18,130.0,1.0,1,0,0
19,186.0,1.0,1,0,0
20,224.0,1.0,1,0,0
21,164.0,1.0,1,0,0
22,124.0,1.0,1,0,0
23,157.0,1.0,1,0,0
24,136.0,1.0,1,0,0
25,116.0,1.0,1,0,0
26,122.0,1.0,1,0,0
27,147.0,1.0,1,0,0
28,124.0,1.0,1,0,0
29,467.0,1.0,1,0,0
30,170.0,1.0,1,0,0
31,185.0,1.0,1,0,0
32,163.0,1.0,1,0,0
33,175.0,1.0,1,0,0
34,185.0,1.0,1,0,0
35,138.0,1.0,1,0,0
36,603.0,1.0,1,0,0
37,648.0,1.0,1,0,0
38,137.0,1.0,1,0,0
39,121.0,1.0,1,0,0
40,215.0,1.0,1,0,0
41,158.0,1.0,1,0,0
42,453.0,1.0,1,0,0
43,235.0,1.0,1,0,0
44,120.0,1.0,1,0,0
45,134.0,1.0,1,0,0
46,146.0,1.0,1,0,0
47,171.0,1.0,1,0,0
48,211.0,1.0,1,0,0
49,118.0,1.0,1,0,0
0,197.0,1.0,1,0,0
1,146.0,1.0,1,0,0
2,180.0,1.0,1,0,0
3,171.0,1.0,1,0,0
4,219.0,1.0,1,0,0
5,192.0,1.0,1,0,0
6,120.0,1.0,1,0,0
7,209.0,1.0,1,0,0
8,123.0,1.0,1,0,0
9,148.0,1.0,1,0,0
10,190.0,1.0,1,0,0
11,152.0,1.0,1,0,0
12,274.0,1.0,1,0,0
13,179.0,1.0,1,0,0
14,187.0,1.0,1,0,0
15,201.0,1.0,1,0,0
16,205.0,1.0,1,0,0
17,137.0,1.0,1,0,0
18,166.0,1.0,1,0,0
19,191.0,1.0,1,0,0
20,124.0,1.0,1,0,0
21,215.0,1.0,1,0,0
22,168.0,1.0,1,0,0
23,166.0,1.0,1,0,0
24,185.0,1.0,1,0,0
25,144.0,1.0,1,0,0
26,217.0,1.0,1,0,0
27,391.0,1.0,1,0,0
28,134.0,1.0,1,0,0
29,191.0,1.0,1,0,0
30,150.0,1.0,1,0,0
31,162.0,1.0,1,0,0
32,252.0,1.0,1,0,0
33,161.0,1.0,1,0,0
