ignore,events-1,alive_times-1,events-2,alive_times-2,events-3,alive_times-3
0,1,154,1,146,1,163
0,0,143,0,200,1,150
0,1,101,0,175,1,186
0,0,-1,1,-1,1,-1
0,1,-1,1,-1,1,-1
0,1,-1,1,-1,1,-1
0,1,-1,1,-1,1,-1
0,1,-1,1,-1,1,-1
0,0,-1,1,-1,1,-1
0,1,-1,0,-1,1,-1
0,1,-1,1,-1,1,-1
0,1,-1,0,-1,0,-1
0,1,-1,1,-1,1,-1
0,1,-1,1,-1,1,-1
0,0,-1,1,-1,1,-1
0,0,-1,0,-1,1,-1
0,1,-1,1,-1,1,-1
0,1,-1,0,-1,1,-1
0,1,-1,1,-1,1,-1
0,1,-1,1,-1,1,-1
0,1,-1,1,-1,0,-1
0,1,-1,1,-1,1,-1
0,0,-1,0,-1,0,-1
0,0,-1,1,-1,0,-1
0,0,-1,0,-1,1,-1
0,1,-1,1,-1,0,-1
0,1,-1,1,-1,1,-1
0,1,-1,1,-1,0,-1
0,1,-1,1,-1,1,-1
0,0,-1,1,-1,1,-1
0,1,-1,1,-1,0,-1
0,1,-1,0,-1,1,-1
0,1,-1,0,-1,0,-1
0,1,-1,1,-1,0,-1
0,1,-1,1,-1,1,-1
0,1,-1,1,-1,1,-1
0,0,-1,0,-1,1,-1
0,1,-1,1,-1,1,-1
0,1,-1,1,-1,1,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,1,-1
0,1,-1,1,-1,0,-1
0,1,-1,0,-1,0,-1
0,1,-1,1,-1,0,-1
0,0,-1,0,-1,0,-1
0,1,-1,1,-1,0,-1
0,1,-1,0,-1,1,-1
0,0,-1,1,-1,1,-1
0,1,-1,1,-1,1,-1
0,1,-1,0,-1,1,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,1,-1
0,1,-1,0,-1,1,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,1,-1,0,-1,0,-1
0,0,-1,0,-1,1,-1
0,0,-1,1,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,1,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,1,-1,0,-1,0,-1
0,0,-1,1,-1,0,-1
0,0,-1,1,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,1,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,1,-1,0,-1,0,-1
0,0,-1,1,-1,1,-1
0,0,-1,0,-1,0,-1
0,0,-1,1,-1,0,-1
0,1,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,1,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
0,1,-1,0,-1,0,-1
0,0,-1,0,-1,0,-1
